,11
RoundNumber,11
Country,Hungary
Location,Budapest
OfficialEventName,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023
EventDate,2023-07-23 00:00:00
EventName,Hungarian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-07-21 13:30:00+02:00
Session1DateUtc,2023-07-21 11:30:00
Session2,Practice 2
Session2Date,2023-07-21 17:00:00+02:00
Session2DateUtc,2023-07-21 15:00:00
Session3,Practice 3
Session3Date,2023-07-22 12:30:00+02:00
Session3DateUtc,2023-07-22 10:30:00
Session4,Qualifying
Session4Date,2023-07-22 16:00:00+02:00
Session4DateUtc,2023-07-22 14:00:00
Session5,Race
Session5Date,2023-07-23 15:00:00+02:00
Session5DateUtc,2023-07-23 13:00:00
F1ApiSupport,True
