,13
RoundNumber,13
Country,Netherlands
Location,Zandvoort
OfficialEventName,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023
EventDate,2023-08-27 00:00:00
EventName,Dutch Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-08-25 12:30:00+02:00
Session1DateUtc,2023-08-25 10:30:00
Session2,Practice 2
Session2Date,2023-08-25 16:00:00+02:00
Session2DateUtc,2023-08-25 14:00:00
Session3,Practice 3
Session3Date,2023-08-26 11:30:00+02:00
Session3DateUtc,2023-08-26 09:30:00
Session4,Qualifying
Session4Date,2023-08-26 15:00:00+02:00
Session4DateUtc,2023-08-26 13:00:00
Session5,Race
Session5Date,2023-08-27 15:00:00+02:00
Session5DateUtc,2023-08-27 13:00:00
F1ApiSupport,True
