,17
RoundNumber,17
Country,Qatar
Location,Lusail
OfficialEventName,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023
EventDate,2023-10-08 00:00:00
EventName,Qatar Grand Prix
EventFormat,sprint_shootout
Session1,Practice 1
Session1Date,2023-10-06 16:30:00+03:00
Session1DateUtc,2023-10-06 13:30:00
Session2,Qualifying
Session2Date,2023-10-06 20:00:00+03:00
Session2DateUtc,2023-10-06 17:00:00
Session3,Sprint Shootout
Session3Date,2023-10-07 16:20:00+03:00
Session3DateUtc,2023-10-07 13:20:00
Session4,Sprint
Session4Date,2023-10-07 20:30:00+03:00
Session4DateUtc,2023-10-07 17:30:00
Session5,Race
Session5Date,2023-10-08 20:00:00+03:00
Session5DateUtc,2023-10-08 17:00:00
F1ApiSupport,True
