,6
RoundNumber,6
Country,Monaco
Location,Monaco
OfficialEventName,FORMULA 1 GRAND PRIX DE MONACO 2023
EventDate,2023-05-28 00:00:00
EventName,Monaco Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-05-26 13:30:00+02:00
Session1DateUtc,2023-05-26 11:30:00
Session2,Practice 2
Session2Date,2023-05-26 17:00:00+02:00
Session2DateUtc,2023-05-26 15:00:00
Session3,Practice 3
Session3Date,2023-05-27 12:30:00+02:00
Session3DateUtc,2023-05-27 10:30:00
Session4,Qualifying
Session4Date,2023-05-27 16:00:00+02:00
Session4DateUtc,2023-05-27 14:00:00
Session5,Race
Session5Date,2023-05-28 15:00:00+02:00
Session5DateUtc,2023-05-28 13:00:00
F1ApiSupport,True
